name,title,description,color,footer,footerurl,thumbnailurl,author_name,author_url,image_url,authorID
admins,Admins Info,"Admins IGN    - Hanzo Musashi
                            - Arcus Ezra
                            - Blackie03

Helper               - Ts-bit 
                            - godeg roger
                            - Artheroy
                            - soul jager",​,weare,https://cdn.discordapp.com/attachments/714716781880803328/725571839371509850/PicsArt_06-09-02.24.37.png,​,​,​,https://cdn.discordapp.com/attachments/714716781880803328/725568138296688690/GIF-200625_073050.gif,636036563167608863
info,​,"#📖rules📖 
#👕guild-gear-set👕",​,​,​,​,​,​,​,636036563167608863
