name,title,description,color,footer,footerurl,thumbnailurl,author_name,author_url,image_url,authorID
rules,**RULES OF THE SERVER**,"Welcome to this new server where our class is supposed to join
You can have fun after you've read all the rules
1. No spamming
2.no put downs
3. Listen to the <@&722833537010761790> and <@&722833743953395745>
4.  Only english
5. if someone disobeys do not try to make them obey because you will end up in trouble, instead message the teacher in <#722835557595480136> channel
6. you can only access this server once you have been a member for 10 min
7. only <@&722835911695401000>  can add bots
8. go to <#722836136984182824> to get a role in this server
9. no alts
10. have fun! 🙂",dark teal,[,https://images3.alphacoders.com/858/858735.jpg,​,[ ],https://images3.alphacoders.com/858/858735.jpg,​,708419019186897023
sneak,​,peek,​,​,​,​,​,​,​,701781321244082247
secret,​,ogga booga,​,​,​,​,​,​,​,708419019186897023
url,​,wut,​,​,​,​,​,​,​,708419019186897023
