name,title,description,color,footer,footerurl,thumbnailurl,author_name,author_url,image_url,authorID
rules,Rules important,"1: No spamming only spam in the spamming chat 
2: Try not to cuss when Death is online
3: Follow the rules
4: I’m watching
5: No sexual content
6: No flirting
7: Rasism is a no
8:No abusing others
9: If me or Death don’t answer your question respect it
10: No asking for ppls age
11: Try not getting on my or Death’s bad side 
12: Don’t talk shit behind ppls backs
13: Respect others
14: Be kind to others",purple,​,​,​,Death & Bloody,​,​,709788403297681419
RULES,Rules\,"1: No spamming only spam in the spamming chat 
2: Try not to cuss when Death is online
3: Follow the rules
4: I’m watching
5: No sexual content
6: No flirting
7: Rasism is a no
8:No abusing others
9: If me or Death don’t answer your question respect it
10: No asking for ppls age
11: Try not getting on my or Death’s bad side 
12: Don’t talk shit behind ppls backs
13: Respect others
14: Be kind to others
15:don't say the n words",​,​,​,​,​,​,​,709788403297681419
