name,title,description,color,footer,footerurl,thumbnailurl,author_name,author_url,image_url,authorID
TEST,​,this is a command test,​,​,​,​,​,​,​,677765805055934464
rules,SERVER RULES,"1 - Please put things in the correct channel it is designated to. (EX; OwO bot goes in <#725539079021920266> )

2 - NSFW is allowed, but keep it in it's channel please. <#725543533175636099>  (""Only for the horny"" -noodle. June 24, 2020)

3 - You must be 13+ to be here, if you're not, contact one of the admins and we'll talk about it. (We do not want children to see things they shouldn't be seeing.) 

4 - Admins, do not abuse your power. You have 3 chances, if you keep acting up, you will be banned or possibly lose your admin. 

5 - Do not add bots without permission from me or noodle (for admins)

6 - Do not bully/harass people. this is a friendly community. 

7 - This server is LGBTQ+ friendly, we do not appreciate any hate. you will be punished for this, I understand it's your opinion, but keep it to yourself.

8 - If you have any triggers add them here ----> <#725551866435469423>",blue,+,​,​,Noodle,https://cdn.discordapp.com/avatars/720515636840890418/ebccd7e7b804e59d76ab415cc7f0c1b1.png?size=1024cm-edit,​,677765805055934464
