name,title,description,color,footer,footerurl,thumbnailurl,author_name,author_url,image_url,authorID
test,Razões para amar,test,magenta,​,​,https://media.tenor.com/images/f715318284374c60b0c7f6fe32e8a047/tenor.gif,Outter,https://media.tenor.com/images/f715318284374c60b0c7f6fe32e8a047/tenor.gif,https://media1.tenor.com/images/fb1aa76944c156acc494fff37ebdbcfa/tenor.gif?itemid=14521920,676068553190801443
love,love,"**⟩ Tia**
*Linda 
Perfeita
Maravilhosa
Gostosa
Engraçada
Rainha
Bonita
Fofa
Divertida
Foda
Maravilhosa
Eu já disse perfeita?*

**⟩ Hiro**
*Incrivel
Romântico
Carinhoso 
Maravilhoso 
Fofo
Lindo
Bonito ;)
Divertido uwu
FOFO AAAA
Gentil
Engraçado* 


💕💕💕💕💕💕
*Essas são razões e muitas outras pelas quais eu tive coragem de pedir para me juntar a vocês, eu não me arrependo nem um pouco de experimentar ficar em um trisal, mesmo sendo a pouco tempo, vocês me receberam de braços abertos e eu amo muito vocês uwu*

*Como somos amigos a muito tempo, quando eu comecei a namorar com vocês só aumentou mais a minha paixão pelo jeitinho de cada, ainda é estranho estar namorando duas pessoas ao mesmo tempo kkk, mas acho que vou me acostumar com o tempo, e isso vai ser uma experiência ótima com certeza ;>*
💕💕💕💕💕",magenta,Éaqueleditadosenaopodenamorarumpqnaoosdois?,https://media1.tenor.com/images/fb1aa76944c156acc494fff37ebdbcfa/tenor.gif?itemid=14521920,​,Outter,https://media.tenor.com/images/f715318284374c60b0c7f6fe32e8a047/tenor.gif,https://media1.tenor.com/images/fb1aa76944c156acc494fff37ebdbcfa/tenor.gif?itemid=14521920,676068553190801443
