name,title,description,color,footer,footerurl,thumbnailurl,author_name,author_url,image_url,authorID
test-2,​,Gezeichnet von Blütenregen,​,​,​,https://cdn.discordapp.com/attachments/725087082946494477/725097179768684624/Screenshot_20200621_145645.jpg,<@688458315180539906>,​,https://cdn.discordapp.com/attachments/725087082946494477/725097911532126278/IMG_20200623_191256.jpg,688458315180539906
werbung,**♡Fantasy♡**,"▂ ▃ ▄ ▅ ▆ ▇ ▉Story▉ ▇ ▆ ▅ ▄ ▃ ▂

Es war einmal ein wunderschönes Land, friedlich, Menschen mit Elfen und Zwergen in Einklang. Doch dann kamen die Dämonen, Wesen aus der Hölle, sie wollen alles zerstören. Zum Glück gibt es noch Engel, diese wollen diesen Frieden wahren. Es kam zum Kampf, Engel mit Menschen Elfen und Zwergen auf ihrer Seite gegen die Dämonen. Es waren viele Kriege und Schlachten, das sogenannte ""Blutbad"" war der Letzte Kampf. Das Gute hat gesiegt und die Dämonen verschwanden, ebenso die Engel. Doch solch eine Schlacht hat das Gleichgewicht aus dem Konzept gebracht und andere Wesen hinterlassen. Wesen die Friedvoll sind und andere Wesen die dich am liebsten tot sehen wollen. 10 Jahre nach dem Krieg hat sich die Lage halbwegs normalisiert. Zwerge, Elfen und Menschen sind aber trozdem nicht gerade Freundlich miteinander....
Welche Rolle spielst du in dieser Welt? Wirst du den Frieden wahren oder willst du ihn zerstören? Wer sind diese Wesen? Vielleicht willst du selber welche züchten. Finde es doch heraus und spiele mit!

**Story wird im Laufe immer weiter ergänzt**",purple,Tropfenblüte,https://cdn.discordapp.com/attachments/725087082946494477/725376381130637373/Screenshot_20200624_174640.jpg,https://cdn.discordapp.com/avatars/688458315180539906/2907a5ef76d864a4a064c7614aad4c56.webp?size=2048,Schwarzkralle + Blütenregen,https://cdn.discordapp.com/avatars/693042568140816384/7a5392265ce6febe9f478cb7407c19e0.webp?size=2048,https://cdn.discordapp.com/attachments/725087082946494477/725102938439024690/ca77d9011ef08799aac644dbd8deac5e.jpg,688458315180539906
