name,title,description,color,footer,footerurl,thumbnailurl,author_name,author_url,image_url,authorID
nalu,​,https://cdn.discordapp.com/attachments/721343732095516694/724719480995053628/ETEUtlWUMAAG5zL.png,​,​,​,​,​,​,​,492400738941665290
Shiki,​,Rebecca https://cdn.discordapp.com/attachments/715888659408093286/724726349566312468/tumblr_ppm424duKq1sk0159o1_1280.jpg,​,​,​,​,​,​,​,492400738941665290
nezuko,​,https://cdn.discordapp.com/attachments/704375107564601426/724745735782006784/7aeaa90835bf91dd31eaf9bfac9bb77a.jpg,​,​,​,​,​,​,​,492400738941665290
