name,title,description,color,footer,footerurl,thumbnailurl,author_name,author_url,image_url,authorID
Nalu,​,"To make a command , 
use cm-make <command-type><command-name>

pencil Available Command Types

Click on a particular command type 
to learn more about it
• `text`
• `choice`
• `embed`

For a step by step guide on making commands
`Click here`",​,​,​,​,​,​,​,492400738941665290
nalu,​,https://cdn.discordapp.com/attachments/721343732095516694/724719480995053628/ETEUtlWUMAAG5zL.png,​,​,​,​,​,​,​,492400738941665290
