name,title,description,color,footer,footerurl,thumbnailurl,author_name,author_url,image_url,authorID
Rules,​,"no homophobia, racism etc
No trolling,
no ship shaming
No bullying
finally, HAVE FUN",​,​,​,​,​,​,​,704378802943295538
ruless,​,"no homophobia racism etc,",​,​,​,​,​,​,​,704378802943295538
our,​,"rules no homophobia, racism etc No trolling, no ship shaming No bullying finally, HAVE FUN if you dont follow the rules the first time, youll be warned, if you dont follow our rules a second time, youll get a soft ban and be warned, if you dont follow our rules a 3rd time youll be banned.",​,​,​,​,​,​,​,704378802943295538
