name,choices,authorID
ask,yes/no,708419019186897023
magic8ball,yes/no/mabye/don't bother me/not my problem/ask your self,708419019186897023
randbot,myuu/owo/dank memer/idle miner/theelutil,708419019186897023
rando,"hi/who r u why am i here?/vhuuuuuueqvfubeui/blastoise, use hydro pump!/ogga booga/don't you have anything better to do?/hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh/https://www.youtube.com/watch?v=dQw4w9WgXcQ /hello/Cease the means of production!/u look like a faggot/u r stoopid/;(",708419019186897023
gimme,yes/no,701781321244082247
routepick,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24,708419019186897023
PONG,1 ms/2 ms/3 ms/4 ms/5 ms/6 ms/7 ms/8 ms/9 ms/10 ms/11 ms/12 ms/13 ms/14 ms/15 ms/16 ms/17 ms/18 ms/19 ms/20 ms/21 ms/22 ms/23 ms/24 ms/25 ms/26 ms/27 ms/28 ms/29 ms/30 ms/31 ms/32 ms/33 ms/34 ms/35 ms/36 ms/37 ms/38 ms/39 ms/40 ms/41 ms/42 ms/43 ms/44 ms/45 ms/46 ms/47 ms/48 ms/49 ms/50 ms/51 ms/52 ms/53 ms/54 ms/55 ms/56 ms/57 ms/58 ms/59 ms/60 ms/61 ms/62 ms/63 ms/64 ms/65 ms/66 ms/67 ms/68 ms/69 ms/70 ms/71 ms/72 ms/73 ms/74 ms/75 ms/76 ms/77 ms/78 ms/79 ms/80 ms/81 ms/82 ms/83 ms/84 ms/85 ms/86 ms/87 ms/88 ms/89 ms/90 ms/91 ms/92 ms/93 ms/94 ms/95 ms/96 ms/97 ms/98 ms/99 ms/100 ms,708419019186897023
