name,choices,authorID
ask,Yes!/No.,700087913739714601
Okay,"Fine.../ No, I don't want to",700087913739714601
DC,I don't care!/Why should I care?,700087913739714601
Yay!,I'm so happy!/ Yay this is my lucky day you are right!,700087913739714601
IW,I will! Thanks again!/:),700087913739714601
