name,choices,authorID
ask,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,643879721318219786
who,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,643879721318219786
