name,choices,authorID
ask,yes/no,317903372617515009
8ball,"probably/no/yes, absolutely/nO NOPE NO/Y E S/probably not/honestly idk",317903372617515009
gay,very gay/str*ght/bi/homophobic,317903372617515009
shouldi,"yes, you're here for a good time not a long time/no wtf dude/ask again later",317903372617515009
serotonin,"i love you/i believe in you!/it's okay to take a break! <3/be happyy🥺 /you're doing great! 💗/mwah!/take care of yourself/i'm here for you!/i care about you!! sO much!!/get some rest if you need it! <3/ily!!<3/listen to a compilation of your favorite character laughing!! that'll cheer you up!/don't forget to eat proper meals!/treat yourself to something! maybe,,, some ice cream?",317903372617515009
imsad,"you're extremely valid, and you are no less feeling this way <3!/wait,, you're sad? what'll i do if you're sad :( please cheer up! just for me 🥺/digital hugs!!/don't dwell on such a small thing!! we can do this together!/don't cry :( i hate seeing you cry :(/you don't deserve this 💗/what the fuck,, let me beat them up!!/do you need any help? 🥺/you can do this, you're already so strong!!💞/the world would be boring without a person like you💖,, no,, seriously🥺 /it might get serious, but please know, that you're never alone💞i'll help you through thick and thin!",703666537080422560
