memberID,tokens,timestamp
247292930346319872,0.0,
303049066525491201,1.0,
247292930346319872,,2020-07-06 14:14:11.383229
247292930346319872,,2020-07-06 14:14:31.066102
247292930346319872,,2020-07-06 14:15:48.016894
