name,content,authorID
oop,"Python is an **OOP (Object Oriented Programming)**language, Everything in Python is an object ...Python uses the concepts of objects to house information about things. The most important thing to understand is the difference between a Class and an instance .
A Class defines what an instance of said class will look like, and an instance is an object created based on that class. An example would be a Class of Fruit....an instance of this class could be apple. 

**__Where can I learn OOP?__**
Here are some useful resources to learn OOP:
► https://www.youtube.com/playlist?list=PLzMcBGfZo4-l1MqB1zoYfqzlj_HH-ZzXt
► https://www.youtube.com/playlist?list=PL-osiE80TeTsqhIuOqKhwlXsIBIdSeYtc",247292930346319872
resources,"**__Learn python__**
• Free code camp : <https://www.youtube.com/watch?v=rfscVS0vtbw>
• Automate the boring stuff : <https://automatetheboringstuff.com/>

**__Python coding exercises__**
• <https://www.hackerrank.com/>
• <https://www.coderbyte.com/>
• <https://www.codewars.com/>
• <https://www.codeacademy.com/>
• <https://leetcode.com/problemset/all/>

**__Object oriented programming (OOP)__**
• <https://www.youtube.com/playlist?list=PLzMcBGfZo4-l1MqB1zoYfqzlj_HH-ZzXt>
• <https://www.youtube.com/playlist?list=PL-osiE80TeTsqhIuOqKhwlXsIBIdSeYtc>

**__Cheat sheets__**
• <https://gto76.github.io/python-cheatsheet/>
• <https://ehmatthes.github.io/pcc/cheatsheets/README.html>",247292930346319872
rtd,<:readthedocs:596577085036953611>,247292930346319872
hi,hello,574212452196155402
yo,sup,685659482939850767
