name,content,authorID
hi,hi,713697357694238756
fuck,you fuck you bitch,714455777301102637
areyouabot,noiamyourmom,713697357694238756
r,u a bot no nava is a bot,714455777301102637
fuckyou,fuck you bitch,714455777301102637
Hi,"Hi, Welcome to R1 Gamin'",713697357694238756
whoisthebot,Teri is the bot,694891270354632774
youknowwhat,BIG DADDY SUCKS!!,694891270354632774
god,Teri is the one and only god of fortnite,692245902697693184
bot,demonsoul is a bot,692245902697693184
urabot,no Josh and Teri are the bots,713697357694238756
b,poda bodado,694891270354632774
trash,Nava is trash,692245902697693184
hey,GO TO HELL!!!!,694891270354632774
