name,content,authorID
!zumitoemi,"Emiliano es el miembro original y fundador del Team Zumitos, al igual que alcalde y fundador de Zumitos Valley, Emiliano nacio siendo un Purrloin, pero reencarno a un Grimer Alola, despues se convirtio en un Espeon, su version mas fuerte hasta la fecha",599036791743578122
!zumoheavy,"Heavy es el sub-líder del Team Zumitos,cocinero del restaurante Sacred Valley,ubicado en Zumitos Valley. Larvitar de nacimiento,pero reencarnado en Pichu y posteriormente tomando la forma de Magnezone. Pese a sus constantes cambios de humor y ataques de rabia,vela por el orden en su entorno",696708013871857684
!inicio,"¡Hola! ¡Bienvenido a Familia Oedipana! Esperemos que te la pases bien en tu estancia aqui, como ves, aqui hay mucha gente, y todos nos llevamos de maravilla, pasate por todos los canales de texto y porfavor lee las reglas que se encuentran en el canal de <#696035037354655795> vamos a beber zumitos y a pasarnosla super bien, ¡acompañanos!",599036791743578122
