name,content,authorID
hi,hi,720136682157899797
fatty,kid,720136682157899797
bad,loser,720136682157899797
good,loser,720886357224063009
Velo,goodie boi,720886357224063009
MERCENARY,Gamer,720886357224063009
stop,shut up,720886357224063009
Mercenary,gamer,720886357224063009
bye,by the way,720886357224063009
angry,SHUT UP!!!!!!!!!!!!!,723074864164110356
ahnaf,white hat hacker,554236489874145281
haha,hahahahhahahhahahahahahhahahahahahahahahahahahahahahahahahhahahhahahahahahhahahahahahahahahahahahahaha,720886357224063009
