name,content,authorID
hi,hi,666919139306242050
wassup,nothin,666919139306242050
die,U DIEEE >:C,666919139306242050
how,are you i am good and u?,666919139306242050
howareyou,i am good  an u?,666919139306242050
bye,seeya! ;D,666919139306242050
URNOOB,YOU ARE THE BIIGEST NOOB LOSER! >:C,666919139306242050
WHOISSHENOY,SHENOY IS UR FRIEND WHO NEVER LETS YOU GET A HIGHER RANK THAN HIM >:D JUST KIDDING LOL!,666919139306242050
WHOISCHERRY,THE NOOB NAMED heartless blackrose is cherry >:D jk,666919139306242050
good,YEA THT MY BOY >:D,666919139306242050
