name,content,authorID
hi,welcome to wendys how may I help you? :),613896701379608603
May,"I see the menu? Sure, The things we have on our menu are: Large fries, Small Fries, Cheese Burger, Chicken Nuggies, And sprite. What would you like to order? :)",613896701379608603
Menu,"The things we have on the menu are, Fries, ChickenNuggies, Burger, and Sprite. Would you like to order anything? :)",613896701379608603
Fries,Oki doki! would you like to order anything else? :),613896701379608603
Burger,Okay! Would you like to order anything else? :),613896701379608603
CN,Good choice! would you like to order anything else? :),613896701379608603
sprite,Ok! would you like to order anything else? :),613896701379608603
thats.all,Okay! Here is your order! You may go to your table and have your delisous meal!,613896701379608603
Refill.pls,"Okay, Hold on. *refilling your drink*",613896701379608603
