name,content,authorID
hi,hi,608489731797418033
welcome,Welcome to old's server ware you have fun and play games,608489731797418033
rules,"Rules 
Discord Server Rules
1. DO NOT
Spam

2. DO NOT
@ The Staff unless you have something important to tell them.

3. DO NOT
Be disrespectful to other Members of the Discord Server

4. DO NOT
use Curse, swear, etc. in the Discord Server in a  mean way you can use curse, swear etc.

5. DO NOT
Attempt to earrape in the Discord Server Voice Channels

6. PLEASE
Enjoy the Discord Server!",608489731797418033
