name,content,authorID
ping,🏓 pong,505884585465479178
meme,<:pepeOK:725063779347464343>,505884585465479178
m-sexy,Trash,505884585465479178
hi,/tts Hello,505884585465479178
memers,<:pepeOK:725063779347464343> <:5812_yeetus:725085540029956156> <:7190_linkpepehype:725063625525428315> <:FeelsBanMan:725063568076308562> <:festivepepe:725063639966679120> <:MonkaChrist:725063652071178241> <:monkaHmm:725063661869203496> <:monkaS:725063672078139403> <:monkaStab:725063686472990720> <:MonkaWae:725063696971202602> <:OkDrops:725085607700988005> <:peepoPANTIES:725063706458718228> <:PeepoPing:725063719096156160> <:PepeHappy:725063743397953567> <:PepeKMS:725063761852891208> <:PepeYikes:725063791158755329> <:WokePepe:725063801069633617> <:PepeHands:725063731704365067>,505884585465479178
mine,<:4441_MCdiamondpickaxe:725084591718793346> <:4651_MCrawporkchop:725084601122422904> <:4933_MCemerald:725084610932768929> <:3885_MCenderpearl:725084578225717258> <:3084_MCcraftingtable:725084570332037191> <:6907_MCdiamondshovel:725084645485707365> <:6026_MCmushroomstew:725084634869661758> <:7005_MCbakedpotato:725084656537698354><:1028_MCgoldenapple:725084539986116680> <:1765_MCbow:725084553181528190> <:1886_MCwheat:725084562035572786> <:5903_MCsugarcane:725084620655427586> <:7980_MCgoldingot:725084666478067722> <:8675_aw_man:725086326365487145> <:8188_MClavabucket:725084685360693427> <:9359_MCcoal:725084693665415218>,505884585465479178
