name,content,authorID
ping,pong,659459686839615490
!pro,akshat is pro,661877662989418506
!sweat,samarth,660799555247276032
hi!,how are you,659459686839615490
!pppro,Adii,660799555247276032
!bye,see you soon,660799555247276032
best,player on fortnite samarth,660799555247276032
bestplayer,samarth,660799555247276032
!tease,ay pranav,660799555247276032
!bored,Listen Some Songs,660799555247276032
!shreyash,NOOB,660799555247276032
Samarth,"Samarth is the best player in the world, when fortnite was launched, samarth the god was 1 first person to play fortnite and he used to pla like god now samarth is the biggest pro in the world, how  faze sway plays fortnite now, samarth the god used to play like that when fortnite was  launched that to on mobile",660799555247276032
thanks,"dont thank me , thank samarth the god",660799555247276032
most,overaction samarth,659459686839615490
overaction,nandana,660799555247276032
